Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
0.01,5.0160288109418705,3033330.0711096954,0.02,1.2552,0.97,86069.6564222416,5,190.0112624708624,0.14041596067720397,743.8918812249259,3.0621224790077015,1.8134903712569654,1000,0.07,0.7
0.02,5.0081597207607995,3646318.3346829894,0.02,1.254,0.97,103725.50428770362,5,189.98391696897184,0.14284201197613688,743.9266606793551,3.0526544355524696,1.8126632732321932,1000,0.07,0.7
0.03,5.000068954339444,3754630.5542819654,0.02,1.254,0.97,106806.62298531207,5,189.94234597352306,0.14535168753529026,743.9795381065089,3.0428894369039186,1.8118278299002348,1000,0.07,0.7
0.04,4.991941616571923,3776321.349926411,0.02,1.254,0.97,107423.6532361328,5,189.88726815944136,0.1478825281810332,744.049605657957,3.033068171704456,1.8109909166864337,1000,0.07,0.7
0.05,4.983807387084397,3779523.6300801584,0.02,1.254,0.97,107514.74734622696,5,189.81942730527783,0.1504231748934668,744.135925042898,3.0232305901049656,1.8101536220859646,1000,0.07,0.7
0.060000000000000005,4.975672466481895,3779844.8139155516,0.02,1.254,0.97,107523.88394710416,5,189.739541266703,0.15297007179254862,744.2375920960468,3.013386221578092,1.8093161731112544,1000,0.07,0.7
0.07,4.967537904906586,3779678.0516169597,0.02,1.254,0.97,107519.14012006276,5,189.64829238913805,0.15552144682675717,744.3537486935425,3.0035378498004968,1.8084786082793323,1000,0.07,0.7
0.08,4.959403951093349,3779395.7151607103,0.02,1.254,0.97,107511.1085965875,5,189.5463276826559,0.15807587948065827,744.4835822931498,2.9936871348244476,1.807640936788243,1000,0.07,0.7
0.09,4.951270725591287,3779057.3657567347,0.02,1.254,0.97,107501.48369296375,5,189.43426041874653,0.1606320757626416,744.6263237006926,2.9838354866804897,1.8068031631481556,1000,0.07,0.7
0.09999999999999999,4.9431383250545275,3778674.106149406,0.02,1.254,0.97,107490.58124496158,5,189.31267185747438,0.16318883009122764,744.7812447009297,2.9739842039659097,1.8059652909973904,1000,0.07,0.7
0.10999999999999999,4.9350068385930514,3778249.4417069308,0.02,1.254,0.97,107478.50096852772,5,189.18211291053095,0.16574501612870707,744.9476557964791,2.964134498763623,1.8051273237007213,1000,0.07,0.7
0.11999999999999998,4.92687635052589,3777785.5985300452,0.02,1.254,0.97,107465.30618874801,5,189.04310571567328,0.16829958216308105,745.1249040826269,2.954287503912752,1.8042892644500574,1000,0.07,0.7
0.12999999999999998,4.918746941019433,3777284.5061341873,0.02,1.254,0.97,107451.05179385311,5,188.89614512397546,0.17085154727837581,745.3123712532724,2.944444277453347,1.8034511162877103,1000,0.07,0.7
0.13999999999999999,4.910618686384345,3776747.956070513,0.02,1.254,0.97,107435.78874745344,5,188.74170010493674,0.17339999773879766,745.5094717290048,2.9346058065283835,1.802612882117164,1000,0.07,0.7
0.15,4.90249165930593,3776177.6328549515,0.02,1.254,0.97,107419.5649683669,5,188.58021507466168,0.17594408350235247,745.7156508983956,2.9247730110921677,1.8017745647114098,1000,0.07,0.7
0.16,4.894365929051466,3775575.1246630996,0.02,1.254,0.97,107402.42563485264,5,188.41211115202725,0.1784830148539358,745.9303834642539,2.9149467474770905,1.8009361667204395,1000,0.07,0.7
0.17,4.886241561662323,3774941.9304046948,0.02,1.254,0.97,107384.41338585605,5,188.23778734736885,0.18101605915839736,746.1531718873001,2.9051278118257406,1.8000976906781851,1000,0.07,0.7
0.18000000000000002,4.878118620133037,3774279.465784198,0.02,1.254,0.97,107365.56849341204,5,188.05762168789488,0.1835425377348292,746.3835449203568,2.895316943389223,1.7992591390089847,1000,0.07,0.7
0.19000000000000003,4.86999716457856,3773589.068791663,0.02,1.254,0.97,107345.92901884166,5,187.87197228369837,0.186061822852702,746.6210562267471,2.885514827692242,1.7984205140336158,1000,0.07,0.7
0.20000000000000004,4.861877252390687,3772872.0047354526,0.02,1.254,0.97,107325.53095591624,5,187.68117833797032,0.18857333484974825,746.8652830771227,2.875722099566001,1.7975818179749379,1000,0.07,0.7
0.21000000000000005,4.853758938384527,3772129.4708662457,0.02,1.254,0.97,107304.40836239456,5,187.4855611047288,0.19107653937084246,747.115825119427,2.865939346050513,1.7967430529631716,1000,0.07,0.7
0.22000000000000006,4.8456422749358135,3771362.600633829,0.02,1.254,0.97,107282.59348111443,5,187.2854247971596,0.19357094472654612,747.3723032171299,2.8561671091684198,1.7959042210408473,1000,0.07,0.7
0.23000000000000007,4.837527312109766,3770572.4676110717,0.02,1.254,0.97,107260.11685161659,5,187.08105744942557,0.1960560993695375,747.6343583512697,2.846405888572783,1.7950653241674455,1000,0.07,0.7
0.24000000000000007,4.829414097782166,3769760.0891167396,0.02,1.254,0.97,107237.00741320153,5,186.87273173459747,0.1985315894867199,747.9016505822032,2.836656144071689,1.7942263642237575,1000,0.07,0.7
0.25000000000000006,4.821302677753212,3768926.4295641384,0.02,1.254,0.97,107213.29260018717,5,186.66070574119342,0.20099703670448932,748.1738580672776,2.8269182980327408,1.793387343015982,1000,0.07,0.7
0.26000000000000006,4.813193095854709,3768072.4035623367,0.02,1.254,0.97,107188.99843012827,5,186.44522371061882,0.20345209590436975,748.4506761309332,2.8171927376707564,1.792548262279583,1000,0.07,0.7
0.2700000000000001,4.805085394051072,3767198.878789839,0.02,1.254,0.97,107164.14958556269,5,186.22651673765785,0.20589645314598748,748.7318163840382,2.807479817222162,1.791709123682922,1000,0.07,0.7
0.2800000000000001,4.79697961253458,3766306.6786639546,0.02,1.254,0.97,107138.76948994606,5,186.004803436018,0.2083298236942377,749.017005889461,2.797779860009658,1.7908699288306844,1000,0.07,0.7
0.2900000000000001,4.7888757898153,3765396.584822481,0.02,1.254,0.97,107112.88037824727,5,185.78029057079863,0.2107519501472681,749.3059863711474,2.7880931604009183,1.7900306792671135,1000,0.07,0.7
0.3000000000000001,4.780773962806023,3764469.3394331266,0.02,1.254,0.97,107086.50336264378,5,185.5531736596386,0.21316260066193848,749.5985134641433,2.778419985665024,1.7891913764790612,1000,0.07,0.7
0.3100000000000001,4.772674166902583,3763525.6473487723,0.02,1.254,0.97,107059.65849383161,5,185.32363754417537,0.21556156727323827,749.8943560032025,2.7687605777304665,1.7883520218988775,1000,0.07,0.7
0.3200000000000001,4.764576436059826,3762566.1781177507,0.02,1.254,0.97,107032.36481821102,5,185.0918569333572,0.2179486643041737,750.1932953477855,2.759115154848513,1.78751261690714,1000,0.07,0.7
0.3300000000000001,4.7564808028635595,3761591.56786436,0.02,1.254,0.97,107004.64043138079,5,184.85799692004736,0.2203237268626066,750.4951247414045,2.7494839131657147,1.786673162835238,1000,0.07,0.7
0.34000000000000014,4.748387298598682,3760602.421049276,0.02,1.254,0.97,106976.50252821603,5,184.62221347228254,0.22268660942152252,750.7996487034094,2.739867028209337,1.7858336609678223,1000,0.07,0.7
0.35000000000000014,4.7402959533137885,3759599.312119736,0.02,1.254,0.97,106947.96744981041,5,184.38465390044976,0.22503718447926335,751.1066824514523,2.730264656289399,1.7849941125451267,1000,0.07,0.7
0.36000000000000015,4.73220679588243,3758582.787057445,0.02,1.254,0.97,106919.05072750882,5,184.1454573015938,0.22737534129626313,751.416051352961,2.7206769358210003,1.784154518765166,1000,0.07,0.7
0.37000000000000016,4.724119854061238,3757553.364834186,0.02,1.254,0.97,106889.76712431465,5,183.90475498197756,0.2297009847049094,751.7275904040837,2.7111039885705,1.783314880785828,1000,0.07,0.7
0.38000000000000017,4.716035154545116,3756511.538780974,0.02,1.254,0.97,106860.13067383759,5,183.66267085897059,0.23201403398919984,752.0411437346501,2.7015459208290613,1.782475199726855,1000,0.07,0.7
0.3900000000000002,4.7079527230196465,3755457.7778770477,0.02,1.254,0.97,106830.15471696109,5,183.41932184327047,0.23431442183093987,752.356564137795,2.6920028245169787,1.7816354766717277,1000,0.07,0.7
0.4000000000000002,4.699872584210876,3754392.52796659,0.02,1.254,0.97,106799.85193645406,5,183.17481820241366,0.23660209331932824,752.6737126229666,2.682474778222095,1.7807957126694527,1000,0.07,0.7
0.4100000000000002,4.691794761932646,3753316.2129051983,0.02,1.254,0.97,106769.234389584,5,182.92926390647634,0.23887700502081755,752.9924579911249,2.6729618481755613,1.7799559087362666,1000,0.07,0.7
0.4200000000000002,4.683719279131572,3752229.2356455727,0.02,1.254,0.97,106738.31353900123,5,182.68275695682297,0.24113912410628746,753.3126764310048,2.6634640891680355,1.7791160658572494,1000,0.07,0.7
0.4300000000000002,4.675646157929835,3751131.9792613224,0.02,1.254,0.97,106707.10028186273,5,182.43538969871094,0.2433884275326057,753.6342511353802,2.6539815454093643,1.7782761849878654,1000,0.07,0.7
0.4400000000000002,4.667575419665866,3750024.8079193626,0.02,1.254,0.97,106675.60497749358,5,182.1872491185226,0.2456249012758005,753.9570719363373,2.64451425133464,1.7774362670554258,1000,0.07,0.7
